学校名称	英文名称
首都师范大学	Capital normal university
北京信息科技大学	Beijing information science and technology university
北京联合大学	Beijing union university
北京城市学院	Beijing city university
首钢工学院	Shougang institute of technology
北京邮电大学世纪学院	"Century college, Beijing university of posts and telecommunications"
北京工业大学耿丹学院	Gengdan institute of Beijing university of technology
天津科技大学	Tianjin university of science and technology
天津工业大学	Tianjin Polytechnic University
中国民航大学	Civil Aviation University of China
天津理工大学	Tianjin university of technology
天津农学院	Tianjin agricultural university
天津中医药大学	Tianjin university of traditional Chinese medicine
天津师范大学	Tianjin normal university
天津职业技术师范大学	Tianjin University of Technology and Education
天津商业大学	Tianjin university of commerce
天津城建大学	Tianjin Chengjian university
河北工程大学	Hebei university of engineering
河北地质大学	Hebei university of geosciences
华北理工大学	North China university of technology
河北科技大学	Hebei university of science and technology
河北建筑工程学院	Hebei institute of architectural engineering
河北水利电力学院	Hebei university of water and power
河北农业大学	Hebei agricultural university
河北医科大学	Hebei medical university
河北北方学院	Hebei north university
承德医学院	Chengde medical college
河北师范大学	Hebei normal university
保定学院	Baoding academy
河北民族师范学院	Hebei normal university for nationalities
唐山师范学院	Tangshan normal university
廊坊师范学院	Langfang normal university
衡水学院	Hengshui college
石家庄学院	Shijiazhuang college
邯郸学院	Handan college
邢台学院	xingtai
沧州师范学院	Cangzhou normal university
石家庄铁道大学	Shijiazhuang railway university
燕山大学	Yanshan university
河北科技师范学院	Hebei normal university of science and technology
唐山学院	Tangshan college
华北科技学院	North China university of science and technology
中国人民武装警察部队学院	China people's armed police force academy
河北体育学院	Hebei sports university
河北金融学院	Hebei university of finance
北华航天工业学院	North China institute of aerospace industry
防灾科技学院	Disaster prevention technology college
河北经贸大学	Hebei university of economics and trade
河北传媒学院	Hebei communication university
河北工程技术学院	Hebei institute of engineering and technology
河北美术学院	Hebei academy of fine arts
河北科技学院	Hebei university of science and technology
河北外国语学院	Hebei foreign language institute
河北大学工商学院	"School of business, hebei university"
华北理工大学轻工学院	"School of light industry, north China university of technology"
河北科技大学理工学院	"Institute of technology, hebei university of science and technology"
河北师范大学汇华学院	"Huihua college, hebei normal university"
华北电力大学科技学院	"College of science and technology, north China electric power university"
河北工程大学科信学院	Hebei university of engineering science and technology
河北工业大学城市学院	City college of hebei university of technology
燕山大学里仁学院	"Liren college, yanshan university"
石家庄铁道大学四方学院	Shijiazhuang railway university sifang college
河北地质大学华信学院	"Huaxin college, hebei university of geosciences"
河北农业大学现代科技学院	"School of modern science and technology, hebei agricultural university"
华北理工大学冀唐学院	"Hebei tang college, north China university of technology"
中国地质大学长城学院	"Great Wall college, China university of geosciences"
燕京理工学院	Yanjing institute of technology
北京中医药大学东方学院	"Oriental college, Beijing university of traditional Chinese medicine"
北京交通大学海滨学院	"Haibin college, Beijing jiaotong university"
河北东方学院	Hebei Oriental college
河北中医学院	Hebei university of traditional Chinese medicine
张家口学院	Zhangjiakou college
河北环境工程学院	Hebei institute of environmental engineering
太原科技大学	Taiyuan university of science and technology
中北大学	University of north
山西农业大学	Shanxi agricultural university
山西医科大学	Shanxi medical university
长治医学院	Changzhi medical college
山西师范大学	Shanxi normal university
太原师范学院	Taiyuan normal university
山西大同大学	Shanxi datong university
晋中学院	Jinzhong college
长治学院	Changzhi college
运城学院	Yuncheng institute
忻州师范学院	Xinzhou normal university
山西财经大学	Shanxi university of finance and economics
山西中医学院	Shanxi college of traditional Chinese medicine
吕梁学院	Luliang college
太原学院	Taiyuan institute of
山西应用科技学院	Shanxi institute of applied science and technology
山西大学商务学院	"School of business, shanxi university"
太原理工大学现代科技学院	"College of modern science and technology, taiyuan university of technology"
山西农业大学信息学院	"School of information, shanxi agricultural university"
山西师范大学现代文理学院	"College of modern arts and sciences, shanxi normal university"
山西工商学院	Shanxi university of commerce and industry
太原工业学院	Taiyuan institute of technology
山西工程技术学院	Shanxi institute of engineering and technology
山西能源学院	Shanxi energy university
内蒙古科技大学	Inner Mongolia university of science and technology
内蒙古工业大学	Inner Mongolia university of technology
内蒙古农业大学	Inner Mongolia agricultural university
内蒙古医科大学	Inner Mongolia medical university
包头医学院(合并)	Baotou medical college (merged)
内蒙古师范大学	Inner Mongolia normal university
内蒙古民族大学	Inner Mongolia university for nationalities
包头师范学院(合并)	Baotou normal university (merged)
赤峰学院	Chifeng institute
内蒙古财经大学	Inner Mongolia university of finance and economics
呼伦贝尔学院	Hulunbuir college
集宁师范学院	Ji 'ning normal university
河套学院	Hetao college
呼和浩特民族学院	Hohhot college of nationalities
内蒙古大学创业学院	"School of entrepreneurship, Inner Mongolia university"
内蒙古师范大学鸿德学院	"Hongde college, Inner Mongolia normal university"
鄂尔多斯应用技术学院	Ordos institute of applied technology
沈阳工业大学	Shenyang university of technology
沈阳航空航天大学	Shenyang university of aeronautics and astronautics
沈阳理工大学	Shenyang university of technology
辽宁科技大学	Liaoning university of science and technology
辽宁工程技术大学	Liaoning university of engineering and technology
辽宁石油化工大学	Liaoning university of petroleum and chemical technology
沈阳化工大学	Shenyang university of chemical technology
大连交通大学	Dalian jiaotong university
大连工业大学	Dalian university of technology
沈阳建筑大学	Shenyang jianzhu university
辽宁工业大学	Liaoning university of technology
沈阳农业大学	Shenyang agricultural university
大连海洋大学	Dalian ocean university
中国医科大学	China medical university
锦州医科大学	Jinzhou medical university
大连医科大学	Dalian medical university
辽宁中医药大学	Liaoning university of traditional Chinese medicine
沈阳药科大学	Shenyang pharmaceutical university
沈阳医学院	Shenyang medical college
辽宁师范大学	Liaoning normal university
沈阳师范大学	Shenyang normal university
渤海大学	Bohai university
鞍山师范学院	Anshan normal university
沈阳大学	Shenyang university
大连大学	Dalian university
辽宁科技学院	Liaoning university of science and technology
沈阳工程学院	Shenyang institute of engineering
辽东学院	Liaodong college
大连民族大学	Dalian nationalities university
大连科技学院	Dalian university of science and technology
沈阳城市建设学院	Shenyang institute of urban construction
大连东软信息学院	Dalian neusoft information college
长春理工大学	Changchun university of technology
东北电力大学	Northeast electric power university
长春工业大学	Changchun university of technology
吉林建筑大学	Jilin university of architecture
吉林化工学院	Jilin university of chemical technology
吉林农业大学	Jilin agricultural university
长春中医药大学	Changchun university of traditional Chinese medicine
北华大学	University of north China
通化师范学院	Tonghua normal university
吉林师范大学	Jilin normal university
吉林工程技术师范学院	Jilin normal university of engineering and technology
长春师范大学	Changchun normal university
白城师范学院	Baicheng normal university
吉林工商学院	Jilin university of commerce and industry
长春工程学院	Changchun institute of engineering
吉林农业科技学院	Jilin agricultural science and technology college
长春大学	Changchun university
长春光华学院	Changchun guanghua college
长春工业大学人文信息学院	"School of humanities and information, changchun university of technology"
长春理工大学光电信息学院	"School of photoelectric information, changchun university of technology"
长春财经学院	Changchun university of finance and economics
吉林建筑大学城建学院	"College of urban construction, jilin university of architecture"
长春建筑学院	Changchun institute of architecture
长春科技学院	Changchun university of science and technology
吉林师范大学博达学院	Boda college of jilin normal university
长春大学旅游学院	"School of tourism, changchun university"
东北师范大学人文学院	"School of humanities, northeast normal university"
吉林医药学院	Jilin medical college
黑龙江大学	Heilongjiang university
哈尔滨理工大学	Harbin Institute of Technology
黑龙江科技大学	Heilongjiang university of science and technology
东北石油大学	Northeastern University of petroleum
佳木斯大学	Jiamusi university
黑龙江八一农垦大学	Heilongjiang bayi agricultural university
哈尔滨医科大学	Harbin medical university
黑龙江中医药大学	Heilongjiang university of traditional Chinese medicine
牡丹江医学院	Mudanjiang medical college
哈尔滨师范大学	Harbin normal university
齐齐哈尔大学	Qiqihar university
牡丹江师范学院	Mudanjiang normal university
哈尔滨学院	Harbin institute
大庆师范学院	Daqing normal university
绥化学院	That is suihua college
哈尔滨商业大学	Harbin university of commerce
哈尔滨金融学院	Harbin institute of finance
齐齐哈尔医学院	Qiqihar medical college
黑龙江工业学院	Heilongjiang institute of technology
黑龙江东方学院	Heilongjiang Oriental college
黑龙江工程学院	Heilongjiang university of engineering
齐齐哈尔工程学院	Qiqihar institute of engineering
黑龙江外国语学院	Heilongjiang foreign language institute
哈尔滨石油学院	Harbin institute of petroleum
黑龙江工商学院	Heilongjiang business school
哈尔滨远东理工学院	Harbin far east institute of technology
黑河学院	Heihe college
上海理工大学	Shanghai university of technology
上海海事大学	Shanghai maritime university
上海电力学院	Shanghai electric power university
上海应用技术大学	Shanghai university of applied technology
上海健康医学院	Shanghai medical college of health
上海海洋大学	Shanghai ocean university
上海中医药大学	Shanghai university of traditional Chinese medicine
上海师范大学	Shanghai normal university
上海体育学院	Shanghai sports university
上海工程技术大学	Shanghai university of engineering and technology
上海电机学院	Shanghai institute of electrical engineering
上海杉达学院	Shanghai sunda college
上海第二工业大学	Shanghai no. 2 university of technology
上海建桥学院	Shanghai jianqiao college
上海师范大学天华学院	"Tianhua college, Shanghai normal university"
上海科技大学	Shanghai university of science and technology
上海纽约大学	Shanghai New York university
江苏科技大学	Jiangsu university of science and technology
南京工业大学	Nanjing university of technology
常州大学	Changzhou university
南京邮电大学	Nanjing university of posts and telecommunications
南京林业大学	Nanjing forestry university
江苏大学	Jiangsu university
南京信息工程大学	Nanjing university of information engineering
南通大学	Nantong university
盐城工学院	Yancheng institute of technology
南京医科大学	Nanjing medical university
徐州医科大学	Xuzhou medical university
南京中医药大学	Nanjing university of traditional Chinese medicine
江苏师范大学	Jiangsu normal university
淮阴师范学院	Huaiyin normal university
盐城师范学院	Yancheng normal university
南京财经大学	Nanjing university of finance and economics
江苏警官学院	Jiangsu police college
南京体育学院	Nanjing sports university
苏州科技大学	Suzhou university of science and technology
常熟理工学院	Changshu institute of technology
淮阴工学院	Huaiyin institute of technology
常州工学院	Changzhou institute of technology
扬州大学	Yangzhou university
三江学院	Sanjiang college
南京工程学院	Nanjing institute of engineering
南京审计大学	Nanjing audit university
南京晓庄学院	Nanjing xiaozhuang college
江苏技术师范学院	Jiangsu normal university of technology
淮海工学院	Huaihai institute of technology
徐州工程学院	Xuzhou institute of engineering
南京特殊教育师范学院	Nanjing special education normal university
南通理工学院	Nantong institute of technology
南京森林警察学院	Nanjing forest police college
东南大学成贤学院	Chengxian college of southeast university
泰州学院	Taizhou school
无锡太湖学院	Wuxi taihu college
金陵科技学院	Jinling university of science and technology
中国矿业大学徐海学院	"Xu hai college, China mining university"
南京大学金陵学院	"Jinling college, nanjing university"
南京理工大学紫金学院	Zijin college of nanjing university of technology
南京航空航天大学金城学院	"Jincheng college, nanjing university of aeronautics and astronautics"
中国传媒大学南广学院	"Nanguang college, communication university of China"
南京理工大学泰州科技学院	"Taizhou institute of science and technology, nanjing university of technology"
南京师范大学泰州学院	"Taizhou college, nanjing normal university"
南京工业大学浦江学院	"Pujiang college, nanjing university of technology"
南京医科大学康达学院	"Kangda college, nanjing medical university"
南京中医药大学翰林学院	"Hanlin academy, nanjing university of traditional Chinese medicine"
南京信息工程大学滨江学院	"Binjiang college, nanjing university of information engineering"
苏州大学文正学院	"Wenzheng college, suzhou university"
苏州大学应用技术学院	"School of applied technology, suzhou university"
苏州科技大学天平学院	"Tianping college, suzhou university of science and technology"
扬州大学广陵学院	"Guangling college, yangzhou university"
江苏师范大学科文学院	"School of science and literature, jiangsu normal university"
南京邮电大学通达学院	"School of communication, nanjing university of posts and telecommunications"
江苏科技大学苏州理工学院	"Suzhou institute of technology, jiangsu university of science and technology"
南通大学杏林学院	"Xinglin college, nantong university"
南京审计大学金审学院	"School of financial audit, nanjing audit university"
宿迁学院	Suqian college
江苏第二师范学院	Jiangsu second normal university
西交利物浦大学	The university of Liverpool
昆山杜克大学	Duke university in kunshan
杭州电子科技大学	Hangzhou university of electronic science and technology
浙江理工大学	Zhejiang university of technology
浙江海洋大学	Zhejiang ocean university
浙江农林大学	Zhejiang agriculture and forestry university
温州医科大学	Wenzhou medical university
浙江中医药大学	Zhejiang university of traditional Chinese medicine
浙江师范大学	Zhejiang normal university
杭州师范大学	Hangzhou normal university
湖州师范学院	Huzhou normal university
绍兴文理学院	Shaoxing university of arts and sciences
台州学院	Taizhou school
温州大学	Wenzhou university
丽水学院	Lishui college
浙江工商大学	Zhejiang university of technology and technology
嘉兴学院	"Jiaxing college,"
中国美术学院	China academy of fine arts
中国计量大学	China university of metrology
公安海警学院	Public security Marine police college
浙江万里学院	Zhejiang wanli college
浙江科技学院	Zhejiang university of science and technology
宁波工程学院	Ningbo institute of engineering
浙江水利水电学院	Zhejiang institute of water resources and hydropower
浙江财经大学	Zhejiang university of finance and economics
浙江警察学院	Zhejiang police college
衢州学院	Quzhou college
宁波大学	Ningbo university
浙江传媒学院	Zhejiang media college
浙江树人学院	Zhejiang shuren college
宁波大红鹰学院	Ningbo great red eagle college
浙江大学城市学院	Zhejiang university city college
浙江大学宁波理工学院	"Ningbo institute of technology, zhejiang university"
杭州医学院	Hangzhou medical college
浙江工业大学之江学院	Zhijiang college of zhejiang university of technology
浙江师范大学行知学院	"Xingzhi college, zhejiang normal university"
宁波大学科学技术学院	"School of science and technology, ningbo university"
杭州电子科技大学信息工程学院	"School of information engineering, hangzhou university of electronic science and technology"
浙江理工大学科技与艺术学院	"School of science and technology and art, zhejiang university of technology"
浙江海洋大学东海科学技术学院	"East China sea institute of science and technology, zhejiang ocean university"
浙江农林大学暨阳学院	Zhejiang agriculture and forestry university and Yang college
温州医科大学仁济学院	"Renji college, wenzhou medical university"
杭州师范大学钱江学院	"Qian jiang college, hangzhou normal university"
绍兴文理学院元培学院	"Yuan pei college, shaoxing university of arts and sciences"
温州大学瓯江学院	"Oujiang college, wenzhou university"
浙江工商大学杭州商学院	Hangzhou business school of zhejiang university of commerce and industry
嘉兴学院南湖学院	"South lake college, jiaxing college"
中国计量大学现代科技学院	"School of modern science and technology, China university of metrology"
浙江财经大学东方学院	East college of zhejiang university of finance and economics
温州商学院	Wenzhou business school
同济大学浙江学院	Zhejiang college of tongji university
上海财经大学浙江学院	"Zhejiang college, Shanghai university of finance and economics"
浙江外国语学院	Zhejiang foreign language institute
宁波诺丁汉大学	University of Nottingham ningbo
温州肯恩大学	Wenzhou kean university
安徽工业大学	Anhui university of technology
安徽理工大学	Anhui university of technology
安徽工程大学	Anhui university of engineering
安徽农业大学	Anhui agricultural university
安徽医科大学	Anhui medical university
蚌埠医学院附院	Bengbu medical college affiliated hospital
皖南医学院	Wannan medical college
安徽中医药大学	Anhui university of traditional Chinese medicine
安徽师范大学	Anhui normal university
阜阳师范学院	Fuyang normal university
安庆师范大学	Anqing normal university
淮北师范大学	Huaibei normal university
黄山学院	"Huangshan college,"
皖西学院	West anhui college
滁州学院	Chuzhou college
安徽财经大学	Anhui university of finance and economics
宿州学院	Suzhou institute of
巢湖学院	Chaohu college
淮南师范学院	Huainan normal university
铜陵学院	Tongling college
安徽建筑大学	Anhui jianzhu university
安徽科技学院	Anhui university of science and technology
安徽三联学院	Anhui sanlian college
合肥学院	Hefei college
蚌埠学院	Bengbu college
池州学院	"Chizhou college,"
安徽新华学院	Anhui xinhua college
安徽文达信息工程学院	Anhui wenda information engineering college
亳州学院	Bozhou college
安徽大学江淮学院	"Jianghuai college, anhui university"
安徽信息工程学院	Anhui institute of information engineering
安徽工业大学工商学院	"School of business, anhui university of technology"
安徽建筑大学城市建设学院	"School of urban construction, anhui jianzhu university"
安徽农业大学经济技术学院	"School of economics and technology, anhui agricultural university"
安徽师范大学皖江学院	Anhui normal university wanjiang college
阜阳师范学院信息工程学院	"School of information engineering, fuyang normal university"
淮北师范大学信息学院	"School of information, huaibei normal university"
合肥师范学院	Hefei normal university
河海大学文天学院	"School of culture and heaven, hohai university"
华侨大学	Huaqiao university
福建工程学院	Fujian institute of engineering
福建农林大学	Fujian agriculture and forestry university
集美大学	Jimei university
福建医科大学	Fujian medical university
福建中医药大学	Fujian university of traditional Chinese medicine
福建师范大学	Fujian normal university
闽江学院	Institute of minjiang
武夷学院	Wuyi institute
宁德师范学院	Ningde normal university
泉州师范学院	Quanzhou normal university
闽南师范大学	Minnan normal university
厦门理工学院	Xiamen institute of technology
三明学院	Sanming college
龙岩学院	Longyan college
福建商学院	Fujian business school
福建警察学院	Fujian police college
莆田学院	"Putian college,"
仰恩大学	AngEn university
厦门医学院	Xiamen medical college
厦门华厦学院	Xiamen huaxa college
闽南理工学院	Minnan institute of technology
福建师范大学闽南科技学院	"Minnan college of science and technology, fujian normal university"
福建农林大学东方学院	East college of fujian agriculture and forestry university
厦门工学院	Xiamen university of technology
阳光学院	The sunshine school
厦门大学嘉庚学院	"Jiageng college, xiamen university"
福州大学至诚学院	Fuzhou university zhicheng college
集美大学诚毅学院	"Chengyi college, jimei university"
福建师范大学协和学院	Concord college of fujian normal university
福州外语外贸学院	Fuzhou college of foreign studies
福建江夏学院	Fujian jiangxia college
泉州信息工程学院	Quanzhou institute of information engineering
福州理工学院	Fuzhou institute of technology
福建农林大学金山学院	Jinshan college of fujian agriculture and forestry university
华东交通大学	East China jiaotong university
东华理工大学	Donghua university of technology
南昌航空大学	Nanchang university of aeronautics
江西理工大学	Jiangxi university of technology
景德镇陶瓷大学	Jingdezhen ceramic university
江西农业大学	Jiangxi agricultural university
江西中医药大学	Jiangxi university of traditional Chinese medicine
赣南医学院	Gannan medical college
江西师范大学	Jiangxi normal university
上饶师范学院	Shangrao normal university
宜春学院	Institute of yichun
赣南师范大学	Gannan normal university
江西财经大学	Jiangxi university of finance and economics
江西科技学院	Jiangxi university of science and technology
景德镇学院	Jingdezhen college
萍乡学院	"Pingxiang college,"
江西科技师范大学	Jiangxi normal university of science and technology
南昌工程学院	Nanchang institute of engineering
江西警察学院	Jiangxi police college
新余学院	"At college,"
九江学院	Jiujiang university
江西工程学院	Jiangxi university of engineering
南昌理工学院	Nanchang institute of technology
江西应用科技学院	Jiangxi institute of applied science and technology
江西服装学院	Jiangxi fashion institute
南昌工学院	Nanchang institute of technology
南昌大学共青学院	Gongqing college of nanchang university
华东交通大学理工学院	East China jiaotong university of technology
东华理工大学长江学院	Changjiang university of east China university of technology
江西理工大学应用科学学院	"School of applied science, jiangxi university of technology"
江西农业大学南昌商学院	Nanchang business school of jiangxi agricultural university
江西中医药大学科技学院	"School of science and technology, jiangxi university of traditional Chinese medicine"
江西师范大学科学技术学院	"School of science and technology, jiangxi normal university"
赣南师范大学科技学院	"School of science and technology, gannan normal university"
山东科技大学	Shandong university of science and technology
青岛科技大学	Qingdao university of science and technology
济南大学	University of Jinan 
青岛理工大学	Qingdao university of technology
山东建筑大学	Shandong jianzhu university
齐鲁工业大学	Qilu university of technology
山东理工大学	Shandong university of technology
山东农业大学	Shandong agricultural university
青岛农业大学	Qingdao agricultural university
潍坊医学院	Weifang medical college
泰山医学院	Taishan medical college
滨州医学院	Binzhou medical college
山东中医药大学	Shandong university of traditional Chinese medicine
济宁医学院	Jining medical college
山东师范大学	Shandong normal university
曲阜师范大学	Qufu normal university
聊城大学	Liaocheng university
德州学院	Texas college
滨州学院	Binzhou college
鲁东大学	Eastern university
临沂大学	Linyi university
泰山学院	Taishan college
济宁学院	Jining college
菏泽学院	Heze college
山东财经大学	Shandong university of finance and economics
齐鲁医药学院	Qilu medical college
青岛滨海学院	Qingdao binhai college
枣庄学院	Zaozhuang college
青岛大学	Qingdao university
烟台大学	Yantai university
潍坊学院	Weifang institute
山东警察学院	Shandong police college
山东交通学院	Shandong jiaotong university
山东工商学院	Shandong university of commerce and industry
山东女子学院	Shandong women's college
烟台南山学院	"Nanshan college, yantai"
潍坊科技学院	Weifang institute of science and technology
山东英才学院	Shandong yingcai college
青岛恒星科技学院	Qingdao star institute of technology
青岛黄海学院	Qingdao huanghai college
山东协和学院	Shandong union college
烟台大学文经学院	"College of arts and economics, yantai university"
聊城大学东昌学院	"Dongchang college, liaocheng university"
青岛理工大学琴岛学院	"Qindao college, Qingdao university of technology"
山东师范大学历山学院	Shandong normal university education college
中国石油大学胜利学院	"Shengli college, China university of petroleum"
山东科技大学泰山科技学院	Shandong university of science and technology taishan college of science and technology
山东华宇工学院	Shandong huayu institute of technology
青岛工学院	Qingdao institute of technology
齐鲁理工学院	Qilu institute of technology
济南大学泉城学院	"Quancheng college, jinan university"
山东政法学院	Shandong university of political science and law
齐鲁师范学院	Qilu normal university
山东青年政治学院	Shandong youth political college
山东管理学院	Shandong university of management
山东农业工程学院	Shandong agricultural engineering college
华北水利水电大学	North China university of water resources and hydropower
河南理工大学	Henan university of technology
郑州轻工业学院	Zhengzhou light industry college
河南工业大学	Henan university of technology
河南科技大学	Henan university of science and technology
中原工学院	Zhongyuan institute of technology
河南农业大学	Henan agricultural university
河南科技学院	Henan university of science and technology
河南牧业经济学院	Henan animal husbandry economic college
河南中医药大学	Henan university of traditional Chinese medicine
新乡医学院	Xinxiang medical college
河南师范大学	Henan normal university
信阳师范学院	Xinyang normal university
周口师范学院	Zhoukou normal university
安阳师范学院	Anyang normal university
许昌学院	Xuchang college
南阳师范学院	Nanyang normal university
洛阳师范学院	Luoyang normal university
商丘师范学院	Shangqiu normal university
河南财经政法大学	"Henan university of economics, politics and law"
郑州航空工业管理学院	Zhengzhou institute of aviation industry management
黄淮学院	Huanghuai college
平顶山学院	Pingdingshan college
郑州工程技术学院	Zhengzhou institute of engineering and technology
洛阳理工学院	Luoyang institute of technology
新乡学院	Xinxiang college
信阳农林学院	Xinyang agriculture and forestry college
河南工学院	Henan institute of technology
安阳工学院	Anyang institute of technology
河南工程学院	Henan institute of engineering
南阳理工学院	Nanyang institute of technology
河南城建学院	Henan urban construction college
河南警察学院	Henan police college
黄河科技学院	Yellow River institute of technology
郑州科技学院	Zhengzhou university of science and technology
郑州师范学院	Zhengzhou normal university
商丘工学院	Shangqiu engineering college
武汉科技大学	Wuhan university of science and technology
长江大学	The Yangtze university
武汉工程大学	Wuhan university of engineering
武汉纺织大学	Wuhan textile university
武汉轻工大学	Wuhan university of light industry
湖北工业大学	Hubei university of technology
湖北中医药大学	Hubei university of traditional Chinese medicine
湖北大学	Hubei university
湖北师范大学	Hubei normal university
黄冈师范学院	Huanggang normal university
湖北民族学院	Hubei institute of nationalities
汉江师范学院	Hanjiang normal school
湖北文理学院	Hubei college of arts and sciences
中南民族大学	Zhongnan university for nationalities
湖北汽车工业学院	Hubei university of automobile industry
湖北工程学院	Hubei institute of engineering
湖北理工学院	Hubei institute of technology
湖北科技学院	Hubei university of science and technology
湖北医药学院	Hubei medical college
江汉大学	Jianghan university
三峡大学	The three gorges university
湖北警官学院	Hubei police college
荆楚理工学院	Jingchu institute of technology
武汉东湖学院	Wuhan east lake college
汉口学院	Hankou college
武昌首义学院	Wuchang shouyi college
武昌理工学院	Wuchang institute of technology
武汉生物工程学院	Wuhan institute of biological engineering
武汉科技大学城市学院	Wuhan university of science and technology city college
武昌工学院	Wuchang institute of technology
湖北商贸学院	Hubei university of commerce and trade
文华学院	Institute of mandarin
武汉工程科技学院	Wuhan institute of engineering and technology
武汉华夏理工学院	Wuhan huaxia institute of technology
武汉传媒学院	Wuhan media college
武汉设计工程学院	Wuhan institute of design and engineering
湖北第二师范学院	Hubei second normal university
吉首大学	Jishou university
湖南科技大学	Hunan university of science and technology
长沙理工大学	Changsha university of technology
湖南农业大学	Hunan agricultural university
中南林业科技大学	Zhongnan university of forestry and technology
湖南中医药大学	Hunan university of traditional Chinese medicine
湖南理工学院	Hunan institute of technology
湘南学院	Southern college
衡阳师范学院	Hengyang normal university
邵阳学院	Shaoyang college
怀化学院	Which college
湖南文理学院	Hunan university of arts and sciences
湖南科技学院	Hunan university of science and technology
湖南人文科技学院	Hunan institute of humanities and technology
湖南商学院	Hunan business school
南华大学	University of south China
长沙医学院	Changsha medical college
长沙学院	"Changsha college,"
湖南工程学院	Hunan institute of engineering
湖南城市学院	Hunan city college
湖南工学院	Hunan institute of technology
湖南财政经济学院	Hunan university of finance and economics
湖南警察学院	Hunan police college
湖南工业大学	Hunan university of technology
湖南第一师范学院	Hunan first normal university
湖南医药学院	Hunan medical college
湖南涉外经济学院	Hunan university of foreign economics
